Exam,Section(s),Day,Date,"Start
Time","End
Time",Location
MSCI 311,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,DC 1351
MSCI 331,001,Wednesday,"April 23, 2014",7:30 PM,10:00 PM,E2 1303A
MSCI 334,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,RCH 112
MSCI 431,"001,002",Monday,"April 14, 2014",7:30 PM,10:00 PM,"PAC 9,10"
MSCI 432,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,MC 4061
MSCI 435,001,Saturday,"April 12, 2014",4:00 PM,6:30 PM,E2 1303A
MSCI 436,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 302
MSCI 541,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,CPH 4333
MSCI 555,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,E2 1303A
MSCI 631,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,"PAC 9,10"
MSCI 700,002,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,E2 1303A
MSCI 703,001,Saturday,"April 12, 2014",4:00 PM,6:30 PM,E2 1303A
MSCI 720,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,CPH 4333
MTE 201,001,Saturday,"April 12, 2014",12:30 PM,3:00 PM,"DWE 1501,2402"
MTE 202,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"DWE 1501,2402"
MTE 219,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"DWE 1501,2402"
MTE 262,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,"RCH 301,307"
MTE 322,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,DC 1350
MTE 360,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,"DWE 1501,3522,3522A"
MTHEL 131,001,Saturday,"April 12, 2014",9:00 AM,11:00 AM,"DC 1350,1351"
MUSIC 100,001,Monday,"April 21, 2014",7:30 PM,10:00 PM,"CGC 1111,1208"
MUSIC 100,002,Exam removed from the schedule. Contact instructor for further information,,,,
MUSIC 240,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,CGC 1111
MUSIC 246,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,"CGC 1111,1208"
MUSIC 253,001,Thursday,"April 10, 2014",12:30 PM,2:30 PM,CGC 1302
MUSIC 255,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,CGC 1111
MUSIC 260,001,Thursday,"April 24, 2014",9:00 AM,11:30 AM,CGC 1111
MUSIC 361,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,CGC 1302
MUSIC 371,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,CGC 1302
NE 115,001,Wednesday,"April 23, 2014",12:30 PM,3:00 PM,PAC 1
NE 122,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,PAC 7
NE 125,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 11,12"
NE 131,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,"PAC 11,12"
NE 452,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,MC 4064
NE 469,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,PAC 12
NE 469,002,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,MC 4064
NE 479,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,RCH 301
NE 479,002,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 206
NE 489,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 308
NE 489,002,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 10
NE 499,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 206
NE 499,002,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,MC 4064
NE 499,003,Exam removed from the schedule. Contact instructor for further information,,,,
OPTOM 103,001,Thursday,"April 17, 2014",12:30 PM,2:00 PM,REV 200
OPTOM 114,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,REV 200
OPTOM 126,001,Tuesday,"April 15, 2014",12:30 PM,2:30 PM,REV 200
OPTOM 134,001,Wednesday,"April 23, 2014",12:30 PM,2:00 PM,REV 200
OPTOM 143,001,Saturday,"April 12, 2014",12:30 PM,2:30 PM,REV 200
OPTOM 152,001,Thursday,"April 10, 2014",12:30 PM,2:30 PM,REV 200
OPTOM 219,001,Monday,"April 21, 2014",9:00 AM,11:00 AM,REV 200
OPTOM 246,001,Thursday,"April 17, 2014",9:00 AM,11:00 AM,REV 200
OPTOM 250,001,Monday,"April 14, 2014",12:30 PM,2:00 PM,REV 200
OPTOM 255,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,REV 200
OPTOM 261,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,REV 200
OPTOM 262,001,Tuesday,"April 15, 2014",9:00 AM,10:00 AM,REV 200
OPTOM 270,001,Wednesday,"April 23, 2014",9:00 AM,10:30 AM,REV 200
OPTOM 272,001,Saturday,"April 12, 2014",9:00 AM,11:00 AM,REV 200
OPTOM 339,001,Monday,"April 21, 2014",12:30 PM,2:30 PM,REV 200
OPTOM 342B,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,REV 200
OPTOM 365,001,Thursday,"April 10, 2014",4:00 PM,6:30 PM,REV 200
OPTOM 367,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,REV 200
OPTOM 377,001,Saturday,"April 12, 2014",4:00 PM,6:30 PM,REV 200
PACS 201,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PACS 202,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,"RCH 301,302"
PACS 320,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,CGC 1111
PHIL 110A,002,Saturday,"April 12, 2014",12:30 PM,3:00 PM,RCH 306
PHIL 110B,002,Thursday,"April 24, 2014",4:00 PM,6:30 PM,"AL 105,124"
PHIL 110B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 145,001,Monday,"April 21, 2014",4:00 PM,6:30 PM,DC 1350
PHIL 145,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 209,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,STJ 3012
PHIL 215,001,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 103,105,106"
PHIL 215,002,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,STJ 2017
PHIL 215,003,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 109,110,112"
PHIL 215,004,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 307,308,309"
PHIL 215,005,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"RCH 301,302"
PHIL 216,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,AL 105
PHIL 221,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 224,001,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,AL 208
PHIL 250A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 250B,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,AL 105
PHIL 256,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 265,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 380,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 404,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,STJ 3015
PHYS 111,"001,002",Tuesday,"April 22, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5"
PHYS 112,001 to 003,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6"
PHYS 112L,001 to 023,Tuesday,"April 22, 2014",7:30 PM,8:30 PM,"PAC 1,2,3,4,5"
PHYS 121,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHYS 122,"001,002",Tuesday,"April 22, 2014",9:00 AM,11:30 AM,"PAC 7,8,11,12"
PHYS 122L,001 to 007,Tuesday,"April 22, 2014",7:30 PM,8:30 PM,PAC 8
PHYS 124,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,"PAC 1,2"
PHYS 125,"001,002",Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"PAC 1,2"
PHYS 132L,001 to 006,Tuesday,"April 22, 2014",7:30 PM,8:30 PM,"PAC 6,7"
PHYS 175,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"PAC 9,10"
PHYS 233,001,Friday,"April 11, 2014",4:00 PM,6:30 PM,RCH 204
PHYS 234,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,"PAC 9,10"
PHYS 239,001,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,PHY 313
PHYS 242,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,RCH 307
PHYS 256,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,PHY 235
PHYS 263,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 4061
PHYS 270,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,PHY 308
PHYS 280,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,MC 2038
PHYS 335,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,PAC 4
PHYS 342,001,Friday,"April 11, 2014",12:30 PM,3:00 PM,RCH 301
PHYS 359,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,"MC 2034,2035"
PHYS 365,001,Saturday,"April 12, 2014",4:00 PM,6:30 PM,RCH 306
PHYS 375,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 8
PHYS 391,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,PHY 313
PHYS 393,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,PHY 308
PHYS 395,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,PHY 313
PHYS 435,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,PHY 308
PHYS 441B,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,RCH 112
PHYS 444,001,Monday,"April 21, 2014",7:30 PM,10:00 PM,PAC 2
PHYS 476,001,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,PAC 11
PLAN 203,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,HH 1101
PLAN 261,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,"AL 208,211"
PLAN 281,001,Thursday,"April 10, 2014",4:00 PM,6:30 PM,"DC 1350,1351"
PLAN 341,001,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,"PAC 2,3"
PLAN 353,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,PAC 9
PLAN 432,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,"PAC 9,10"
PLAN 471,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,"RCH 307,308"
PLAN 478,001,Friday,"April 11, 2014",4:00 PM,6:30 PM,CPH 3607
PLAN 630,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,"RCH 307,308"
PLAN 639,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,"PAC 9,10"
PMATH 331,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,PAC 3
PMATH 332,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 3
PMATH 336,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 309
PMATH 340,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,RCH 105
PMATH 348,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,RCH 309
PMATH 352,001,Friday,"April 11, 2014",7:30 PM,10:00 PM,"PAC 9,10"
PMATH 365,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,RCH 305
PMATH 370,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,RCH 211
PMATH 432,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 12
PMATH 446,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 204
PMATH 450,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 305
PMATH 464,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,MC 5136B
PMATH 467,001,Thursday,"April 17, 2014",4:00 PM,6:30 PM,PAC 10
PMATH 632,001,Tuesday,"April 22, 2014",4:00 PM,6:30 PM,PAC 12
PMATH 646,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 204
PMATH 650,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,RCH 305
PORT 102,001,Tuesday,"April 15, 2014",9:00 AM,11:00 AM,RCH 205
PSCI 150,001,Friday,"April 11, 2014",7:30 PM,9:30 PM,"DC 1350,1351"
PSCI 226,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,"PAC 9,10"
PSCI 244,001,Thursday,"April 17, 2014",9:00 AM,11:00 AM,"MC 2017,2054"
PSCI 260,001,Thursday,"April 10, 2014",4:00 PM,6:30 PM,"RCH 103,105"
PSCI 283,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,PAC 3
PSCI 300,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,RCH 309
PSCI 432,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,RCH 105
PSYCH 101,001,Thursday,"April 17, 2014",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7"
PSYCH 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PSYCH 207,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PSYCH 253,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 1,2,3"
PSYCH 256,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PSYCH 257,001,Tuesday,"April 15, 2014",4:00 PM,5:30 PM,"DC 1350,1351,MC 1085"
PSYCH 292,001,Wednesday,"April 9, 2014",4:00 PM,6:30 PM,"PAC 1,2"
PSYCH 312,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PSYCH 317,001,Friday,"April 11, 2014",7:30 PM,10:00 PM,PAC 8
PSYCH 318,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,STJ 2017
PSYCH 322R,001,Thursday,"April 17, 2014",12:30 PM,2:30 PM,REN 2106
PSYCH 323R,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,REN 2106
PSYCH 334R,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,REN 2106
PSYCH 340,001,Thursday,"April 17, 2014",7:30 PM,9:30 PM,PAC 8
PSYCH 356,001,Wednesday,"April 16, 2014",9:00 AM,11:00 AM,"RCH 103,105"
PSYCH 372,001,Thursday,"April 10, 2014",9:00 AM,11:00 AM,"RCH 307,308"
REC 306,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,EV1 132
REC 362,001,Monday,"April 14, 2014",4:00 PM,6:00 PM,M3 1006
REC 383,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 9,10"
REES 180,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,EV3 1408
REES 274,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,ML 212
RS 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
RS 110,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
RS 170,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
RS 203,001,Monday,"April 21, 2014",9:00 AM,11:30 AM,PAS 1241
RS 235,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,CGC 1302
RS 254,001,Exam removed from the schedule. Contact instructor for further information,,,,
RS 256,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,CGC 1111
RS 258,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,CGC 1300
RS 262,001,Tuesday,"April 22, 2014",7:30 PM,10:00 PM,PAS 1229
RS 275,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,REN 2106
RS 315,001,Tuesday,"April 8, 2014",4:00 PM,6:00 PM,AL 208
RS 344,001,Tuesday,"April 8, 2014",7:30 PM,9:30 PM,CGC 1300
RUSS 101,001,Thursday,"April 24, 2014",12:30 PM,3:00 PM,ML 246
RUSS 102,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,ML 246
RUSS 202,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,ML 246
RUSS 302,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,ML 246
SCI 200,001,Friday,"April 11, 2014",7:30 PM,10:00 PM,PAC 3
SCI 201,001,Saturday,"April 12, 2014",12:30 PM,3:00 PM,"PAC 2,3"
SCI 227,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,MC 1085
SCI 238,001,Tuesday,"April 15, 2014",4:00 PM,6:30 PM,"PAC 4,5"
SCI 250,001,Thursday,"April 24, 2014",7:30 PM,10:00 PM,"PAC 1,2"
SDS 131R,001 to 003,Wednesday,"April 9, 2014",12:30 PM,3:00 PM,PAC 1
SDS 131R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SDS 150R,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,STJ 1036
SDS 150R,"002,003",Monday,"April 14, 2014",12:30 PM,3:00 PM,STJ 1036
SDS 150R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SDS 220R,001,Monday,"April 14, 2014",7:30 PM,10:00 PM,"REN 2102,2107"
SDS 250R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SDS 350R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SE 350,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"RCH 302,305"
SE 380,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,"PAC 11,12"
SE 465,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,"PAC 7,8"
SMF 204,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,STJ 1036
SMF 318,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,STJ 3015
SOC 101,001,Wednesday,"April 16, 2014",7:30 PM,10:00 PM,"PAC 1,2,3,4,5"
SOC 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOC 102,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,DC 1351
SOC 202,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,AL 208
SOC 222,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,HH 1101
SOC 224R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOC 227,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,DC 1350
SOC 228,001,Tuesday,"April 8, 2014",7:30 PM,10:00 PM,"PAC 4,5"
SOC 229,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOC 243,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,"PAC 9,10"
SOC 253,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,EV3 1408
SOC 260,001,Tuesday,"April 22, 2014",7:30 PM,10:00 PM,PAS 1229
SOC 280,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,CPH 1346
SOC 302,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,STJ 2011
SOC 321,001,Thursday,"April 24, 2014",4:00 PM,6:30 PM,HH 1101
SOC 325,001,Monday,"April 21, 2014",12:30 PM,3:00 PM,DC 1350
SOC 326,001,Tuesday,"April 22, 2014",12:30 PM,3:00 PM,PAS 1229
SOC 340,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 204
SOC 352,001,Monday,"April 14, 2014",4:00 PM,6:00 PM,M3 1006
SOC 370,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOC 415,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,PAS 1229
SOC 760,001,Tuesday,"April 8, 2014",4:00 PM,6:30 PM,PAS 1229
SOCWK 120R,001,Tuesday,"April 22, 2014",7:30 PM,10:00 PM,REN 2106
SOCWK 120R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOCWK 220R,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,REN 2106
SOCWK 221R,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,REN 2106
SOCWK 221R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOCWK 222R,001,Exam removed from the schedule. Contact instructor for further information,,,,
SOCWK 222R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOCWK 300R,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,REN 2106
SOCWK 300R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOCWK 320R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SOCWK 357R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SPAN 101,001 to 005,Thursday,"April 24, 2014",12:30 PM,2:30 PM,M3 1006
SPAN 102,"001,002",Monday,"April 14, 2014",9:00 AM,11:00 AM,RCH 302
SPAN 102,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SPAN 201A,001,Saturday,"April 12, 2014",9:00 AM,11:00 AM,MC 4042
SPAN 201B,"001,002",Tuesday,"April 22, 2014",9:00 AM,11:00 AM,MC 4041
SPCOM 430,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,ML 349
STAT 202,"001,002",Monday,"April 21, 2014",4:00 PM,6:30 PM,"PAC 1,2,3"
STAT 211,"001,002",Tuesday,"April 22, 2014",4:00 PM,6:30 PM,"PAC 4,5,6,7"
STAT 220,001,Thursday,"April 10, 2014",7:30 PM,10:00 PM,PAC 10
STAT 221,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,MC 4042
STAT 230,"001,002",Monday,"April 21, 2014",4:00 PM,6:30 PM,"PAC 4,5,6,7"
STAT 231,001 to 004,Wednesday,"April 16, 2014",4:00 PM,6:30 PM,"PAC 1,2,3,4,5"
STAT 241,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 4060
STAT 316,001,Thursday,"April 17, 2014",7:30 PM,10:00 PM,DC 1351
STAT 321,001,Wednesday,"April 9, 2014",9:00 AM,11:30 AM,RCH 309
STAT 330,"001,002",Thursday,"April 10, 2014",4:00 PM,6:30 PM,"RCH 301,302"
STAT 331,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,DC 1351
STAT 333,"001,002",Thursday,"April 17, 2014",12:30 PM,3:00 PM,M3 1006
STAT 340,"001,002",Monday,"April 21, 2014",9:00 AM,11:30 AM,"DC 1350,1351"
STAT 371,001,Wednesday,"April 16, 2014",12:30 PM,3:00 PM,"PAC 11,12"
STAT 372,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,PAC 3
STAT 431,001,Wednesday,"April 23, 2014",7:30 PM,10:00 PM,DC 1351
STAT 435,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 204
STAT 436,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,RCH 204
STAT 437,001,Exam removed from the schedule. Contact instructor for further information,,,,
STAT 443,"001,002",Tuesday,"April 22, 2014",4:00 PM,6:30 PM,"PAC 1,2"
STAT 444,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 307
STAT 450,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,DC 1351
STAT 835,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,RCH 204
STAT 836,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,RCH 204
STAT 837,001,Exam removed from the schedule. Contact instructor for further information,,,,
STAT 844,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,RCH 307
SWREN 120R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SWREN 220R,001,Tuesday,"April 15, 2014",12:30 PM,3:00 PM,REN 2106
SWREN 221R,001,Thursday,"April 10, 2014",12:30 PM,3:00 PM,REN 2106
SWREN 221R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SWREN 222R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SWREN 224R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SWREN 300R,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,REN 2106
SWREN 300R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
SYDE 182,001,Thursday,"April 17, 2014",12:30 PM,3:00 PM,DC 1351
SYDE 211,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 223,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 261,001,Wednesday,"April 16, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 283,001,Friday,"April 11, 2014",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 285,001,Monday,"April 14, 2014",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 312,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,"E5 6006,6008"
SYDE 322,001,Friday,"April 11, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 332,001,Tuesday,"April 15, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 334,001,Tuesday,"April 15, 2014",7:30 PM,10:00 PM,DC 1351
SYDE 352,001,Thursday,"April 10, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 372,001,Wednesday,"April 23, 2014",4:00 PM,6:30 PM,"E5 6006,6008"
SYDE 384,001,Wednesday,"April 23, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
SYDE 544,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,"E5 6006,6008"
TS 636,001,Tuesday,"April 22, 2014",9:00 AM,11:30 AM,CGC 1111
TS 642,001,Tuesday,"April 8, 2014",7:30 PM,9:30 PM,CGC 1300
WS 206,001,Monday,"April 14, 2014",9:00 AM,11:30 AM,HH 1101
WS 208E,001,Wednesday,"April 9, 2014",7:30 PM,10:00 PM,REN 2107
WS 262,001,Saturday,"April 12, 2014",7:30 PM,10:00 PM,MC 2038
WS 306,001,Tuesday,"April 8, 2014",12:30 PM,3:00 PM,EV1 132
WS 325,001,Tuesday,"April 8, 2014",9:00 AM,11:30 AM,STJ 2009
